Company Name,Industry,Change in 1 Year
Torrent Pharmaceuticals Ltd,PHARMA,30.89
Torrent Power Ltd,POWER,30.45
Trent Ltd,CONSUMER GOODS,41.97
Trident Ltd,TEXTILES & PAPER,-26.01
Triveni Turbine Ltd,INDUSTRIAL MANUFACTURING,-27.12
TTK Prestige Ltd,CONSUMER GOODS,-29.37
Tube Investments of India Ltd,AUTOMOBILE,-1.88
TV Today Network Ltd,MEDIA & ENTERTAINMENT,-37.49
TV18 Broadcast Ltd,MEDIA & ENTERTAINMENT,-37.7
TVS Motor Company Ltd,AUTOMOBILE,-33.3
UCO Bank,FINANCIAL SERVICES,-28.49
UFLEX Ltd,INDUSTRIAL MANUFACTURING,-19.84
Ujjivan Financial Services Ltd,FINANCIAL SERVICES,-45.89
UltraTech Cement Ltd,CEMENT & CEMENT PRODUCTS,-23.45
Union Bank of India,FINANCIAL SERVICES,-67.37
United Breweries Ltd,CONSUMER GOODS,-33.85
United Spirits Ltd,CONSUMER GOODS,-4.36
UPL Ltd,FERTILISERS & PESTICIDES,-34.99
VIP Industries Ltd,CONSUMER GOODS,-50.81
Vaibhav Global Ltd,CONSUMER GOODS,40.22
Vakrangee Ltd,IT,-58.93
Vardhman Textiles Ltd,TEXTILES & PAPER,-42.66
Varroc Engineering Ltd,AUTOMOBILE,-70.95
Varun Beverages Ltd,CONSUMER GOODS,14.68
Vedanta Ltd,METALS,-46.33
Venky's (India) Ltd,CONSUMER GOODS,-45.06
V-Guard Industries Ltd,CONSUMER GOODS,-18.91
Vinati Organics Ltd,CHEMICALS,9.37
V-Mart Retail Ltd,CONSUMER GOODS,-38.1
Voltas Ltd,CONSUMER GOODS,-16.14
VRL Logistics Ltd,SERVICES,-39.54
VST Industries Ltd,CONSUMER GOODS,-14.96
WABCO India Ltd,AUTOMOBILE,-0.19
Welspun Corp Ltd,METALS,-51
Welspun India Ltd,TEXTILES & PAPER,-50.61
Whirlpool of India Ltd,CONSUMER GOODS,47.86
Wipro Ltd,IT,-36.04
Wockhardt Ltd,PHARMA,-38.09
Zee Entertainment Enterprises Ltd,MEDIA & ENTERTAINMENT,-63.16
Zensar Technolgies Ltd,IT,-63.86
Zydus Wellness Ltd,CONSUMER GOODS,3.96
