Name,Company,Industry,Date,Open,High,Low,Close,Adj Close,Volume
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,23-12-19,2867.600098,2918,2867.600098,2908.399902,2908.399902,392235
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,24-12-19,2918.899902,2918.899902,2886.050049,2895.949951,2895.949951,217843
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,26-12-19,2896.550049,2914.75,2860,2865.600098,2865.600098,256960
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,27-12-19,2875,2905,2861.600098,2897.600098,2897.600098,373653
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,30-12-19,2882.300049,2928,2875,2888.850098,2888.850098,379879
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,31-12-19,2890,2914.850098,2864.050049,2874.550049,2874.550049,303238
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,01-01-20,2880,2888.5,2860.199951,2879.399902,2879.399902,154779
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,02-01-20,2883.800049,2892.399902,2860.199951,2864.899902,2864.899902,298831
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,03-01-20,2864.899902,2897,2852.050049,2883.899902,2883.899902,344678
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,06-01-20,2871,2897.800049,2854.199951,2878.850098,2878.850098,357737
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,07-01-20,2890,2910,2871.050049,2884.199951,2884.199951,357635
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,08-01-20,2875,2905,2866,2897.25,2897.25,279023
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,09-01-20,2911.600098,2936.600098,2901,2920.5,2920.5,375496
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,10-01-20,2930,3008,2925.149902,2933,2933,1127147
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,13-01-20,2932.899902,2966.5,2915.699951,2954.699951,2954.699951,441864
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,14-01-20,2954.800049,2968.800049,2932,2947.800049,2947.800049,357170
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,15-01-20,2946.149902,2946.5,2900,2918.649902,2918.649902,384867
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,16-01-20,2928,2951.5,2921.649902,2937.449951,2937.449951,383462
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,17-01-20,2944.399902,3049,2940,3034.350098,3034.350098,1117117
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,20-01-20,3043,3080,3032.050049,3059.600098,3059.600098,874713
Dr. Reddy's Laboratories Ltd.,DRREDDY.NS,PHARMA,21-01-20,3055.550049,3079.800049,3035.850098,3060.449951,3060.449951,570786
