Security,Industry,Change_Since Lockdown
TATASTLBSL,METALS,1%
TCIEXP,SERVICES,19%
TCNSBRANDS,INDUSTRIAL MANUFACTURING,-2%
TCS,IT & TELECOM,17%
TEAMLEASE,SERVICES,1%
TECHM,IT & TELECOM,6%
TECHNOE,INFRASTRUCTURE,-8%
THERMAX,INDUSTRIAL MANUFACTURING,2%
THYROCARE,HEALTHCARE,-3%
TIINDIA,AUTOMOBILE,17%
TIMETECHNO,INDUSTRIAL MANUFACTURING,4%
TIMKEN,INDUSTRIAL MANUFACTURING,11%
TITAN,CONSUMER GOODS,-2%
TORNTPHARM,HEALTHCARE,0%
TORNTPOWER,ENERGY,11%
TRENT,CONSUMER GOODS,10%
TRIDENT,INDUSTRIAL MANUFACTURING,-14%
TRITURBINE,INDUSTRIAL MANUFACTURING,19%
TTKPRESTIG,CONSUMER GOODS,2%
TV18BRDCST,MEDIA & ENTERTAINMENT,24%
TVSMOTOR,AUTOMOBILE,19%
TVTODAY,MEDIA & ENTERTAINMENT,-6%
UBL,CONSUMER GOODS,2%
UCOBANK,FINANCIAL SERVICES,29%
UFLEX,INDUSTRIAL MANUFACTURING,10%
UJJIVAN,FINANCIAL SERVICES,6%
ULTRACEMCO,INFRASTRUCTURE,0%
UNIONBANK,FINANCIAL SERVICES,-7%
UPL,FERTILISERS & PESTICIDES,16%
VAIBHAVGBL,CONSUMER GOODS,16%
VAKRANGEE,IT & TELECOM,8%
VARROC,AUTOMOBILE,11%
VBL,CONSUMER GOODS,16%
VEDL,METALS,8%
VENKEYS,CONSUMER GOODS,1%
VGUARD,CONSUMER GOODS,10%
VINATIORGA,CHEMICALS,15%
VIPIND,CONSUMER GOODS,-4%
VMART,CONSUMER GOODS,5%
VOLTAS,CONSUMER GOODS,-3%
VRLLOG,SERVICES,-4%
VSTIND,CONSUMER GOODS,-6%
VTL,INDUSTRIAL MANUFACTURING,1%
WABAG,INFRASTRUCTURE,30%
WABCOINDIA,AUTOMOBILE,-1%
WELCORP,METALS,-4%
WELSPUNIND,INDUSTRIAL MANUFACTURING,3%
WESTLIFE,SERVICES,1%
WHIRLPOOL,CONSUMER GOODS,14%
WIPRO,IT & TELECOM,2%
WOCKPHARMA,HEALTHCARE,-5%
YESBANK,FINANCIAL SERVICES,13%
ZEEL,MEDIA & ENTERTAINMENT,18%
ZENSARTECH,IT & TELECOM,-11%
ZYDUSWELL,CONSUMER GOODS,1%
